species_name,species_name_fishbase,genus_name,genus_name_fishbase,origin,invasive,IUCN_Global,IUCN_Med,Year_Global,Year_Med,Length_cm,Length_max,Depth_min_m,Depth_max_m,Continental_shelf,Continental_slope,Open_ocean,Habitat._soft,Habitat_rocky,Habitat_posidonia,Migration,Reproduction,Sex_shift,Semelparity,Larvae,Behav,Diet_type,BodyShapeI,Fresh,Brack,Saltwater,DemersPelag,AirBreathing,AnaCat,Vulnerability
Acanthurus coeruleus,Acanthurus coeruleus,Acanthurus,Acanthurus,A,1,LC,NA,2012,NA,25,39,2,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,short and / or deep,0,0,1,reef-associated,WaterAssumed,NA,58.55
Acanthurus gahhm,Acanthurus gahhm,Acanthurus,Acanthurus,RS,1,LC,NA,2012,NA,NA,40,5,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,short and / or deep,0,0,1,reef-associated,WaterAssumed,NA,30
Acanthurus monroviae,Acanthurus monroviae,Acanthurus,Acanthurus,A,1,LC,NA,2012,NA,32.5,45,10,30,0,0,0,0,1,0,no,Oviparous,no,no,Planktotrophic,Gregarious,Omnivorous,short and / or deep,0,1,1,demersal,WaterAssumed,NA,41.96
Acanthurus sohal,Acanthurus sohal,Acanthurus,Acanthurus,RS,1,LC,NA,2012,NA,NA,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,short and / or deep,0,0,1,reef-associated,WaterAssumed,NA,30
Acanthurus xanthopterus,Acanthurus xanthopterus,Acanthurus,Acanthurus,RS,1,LC,NA,2012,NA,50,70,1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,short and / or deep,0,0,1,reef-associated,WaterAssumed,NA,37.08
Acipenser gueldenstaedtii,Acipenser gueldenstaedtii,Acipenser,Acipenser,U,0,CR,NA,2022,NA,135,230,5,20,0,0,0,1,0,0,Anadromous,Oviparous,no,no,Leicitotrophic,Mix,Carnivorous,elongated,1,1,1,demersal,WaterAssumed,anadromous,86.67
Acipenser naccarii,Acipenser naccarii,Acipenser,Acipenser,E,0,CR,NA,2022,NA,125,200,10,30,0,0,0,1,0,0,Anadromous,Oviparous,no,no,Leicitotrophic,NA,Carnivorous,elongated,1,1,1,demersal,WaterAssumed,anadromous,90
Acipenser nudiventris,Acipenser nudiventris,Acipenser,Acipenser,U,0,CR,NA,2022,NA,125,200,30,60,0,0,0,1,0,0,Anadromous,Oviparous,no,no,Leicitotrophic,Solitary,Carnivorous,elongated,1,1,1,demersal,WaterAssumed,anadromous,85
Acipenser stellatus,Acipenser stellatus,Acipenser,Acipenser,E,0,CR,NA,2022,NA,125,190,10,100,0,0,0,1,0,0,Anadromous,Oviparous,no,no,Leicitotrophic,NA,Carnivorous,elongated,1,1,1,demersal,WaterAssumed,anadromous,84.74
Acipenser sturio,Acipenser sturio,Acipenser,Acipenser,U,0,CR,NA,2022,NA,175,300,20,50,0,0,0,1,0,0,Anadromous,Oviparous,no,no,Leicitotrophic,Solitary,Carnivorous,elongated,1,1,1,demersal,WaterAssumed,anadromous,88.08
Aidablennius sphynx,Aidablennius sphynx,Aidablennius,Aidablennius,U,0,LC,LC,2026,2011,6.5,8,0.5,2,0,0,0,0,1,0,no,Oviparous,no,no,Planktotrophic,NA,Omnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,10
Alectis alexandrinus,Scyris alexandrina,Alectis,Scyris,U,0,NA,NA,NA,NA,70,100,1,50,0,0,0,1,1,1,NA,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,short and / or deep,0,0,1,pelagic-neritic,WaterAssumed,NA,60
Alepes djedaba,Alepes djedaba,Alepes,Alepes,RS,1,LC,NA,2016,NA,25,40,5,30,0,0,0,0,1,0,Amphidromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,0,1,reef-associated,WaterAssumed,amphidromous,18.14
Alepocephalus rostratus,Alepocephalus rostratus,Alepocephalus,Alepocephalus,U,0,LC,LC,2015,2011,35,70,300,1600,0,0,1,1,0,0,NA,Oviparous,no,no,NA,NA,Carnivorous,elongated,0,0,1,bathydemersal,WaterAssumed,NA,60.23
Alopias vulpinus,Alopias vulpinus,Alopias,Alopias,U,0,VU,EN,2022,2016,550,760,1,50,0,0,1,0,0,0,Oceanodromous,Ovoviviparous,no,no,no,Solitary,Carnivorous,fusiform / normal,0,0,1,pelagic-oceanic,WaterAssumed,oceanodromous,76.65
Alosa alosa,Alosa alosa,Alosa,Alosa,U,0,CR,NA,2024,NA,50,70,1,50,1,1,0,0,0,0,Anadromous,Oviparous,no,no,Leicitotrophic,Gregarious,Carnivorous,fusiform / normal,1,1,1,pelagic-neritic,WaterAssumed,anadromous,35.65
Alosa fallax,Alosa fallax,Alosa,Alosa,U,0,LC,NA,2024,NA,45,55,1,250,0,0,0,0,0,0,Anadromous,NA,no,no,Leicitotrophic,NA,Carnivorous,fusiform / normal,1,1,1,pelagic-neritic,WaterAssumed,anadromous,49.56
Aluterus monoceros,Aluterus monoceros,Aluterus,Aluterus,A,1,LC,NA,2015,NA,25,75,1,50,1,0,0,0,1,0,no,Oviparous,no,no,Planktotrophic,Mix,Carnivorous,short and / or deep,0,0,1,reef-associated,WaterAssumed,NA,47.86
Ambassis dussumieri,Ambassis dussumieri,Ambassis,Ambassis,RS,1,LC,NA,2011,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,1,1,1,demersal,WaterAssumed,NA,10
Anarhichas lupus,Anarhichas lupus,Anarhichas,Anarhichas,A,1,NA,NA,NA,NA,NA,150,1,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elongated,0,0,1,demersal,WaterAssumed,oceanodromous,69.18
Anguilla anguilla,Anguilla anguilla,Anguilla,Anguilla,U,0,CR,NA,2020,NA,80,150,1,15,1,1,0,1,0,1,Catadromous,Oviparous,no,yes,Leicitotrophic,NA,Carnivorous,eel-like,1,1,1,demersal,Facultative,catadromous,64.38
Anthias anthias,Anthias anthias,Anthias,Anthias,U,0,LC,LC,2015,2011,16.5,27,30,80,1,1,0,1,1,0,NA,Oviparous,Protogynous,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,0,1,reef-associated,WaterAssumed,NA,22.94
Antigonia capros,Antigonia capros,Antigonia,Antigonia,A,1,LC,NA,2015,NA,15,30.5,50,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,short and / or deep,0,0,1,demersal,WaterAssumed,NA,20.5
Antonogadus megalokynodon,Gaidropsarus biscayensis,Antonogadus,Gaidropsarus,U,0,NA,LC,NA,2011,12,40,80,600,1,1,0,1,0,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,elongated,0,0,1,benthopelagic,WaterAssumed,non-migratory,30
Aphanius dispar,Aphaniops dispar,Aphanius,Aphaniops,U,0,LC,NA,2014,NA,6.5,8,1,5,0,0,0,0,0,1,Amphidromous,Oviparous,no,yes,NA,Gregarious,Herbivorous,fusiform / normal,1,1,1,benthopelagic,WaterAssumed,non-migratory,10
Aphanius fasciatus,Aphanius fasciatus,Aphanius,Aphanius,E,0,LC,NA,2024,NA,6,9,1,5,0,0,0,0,0,1,Amphidromous,Oviparous,no,yes,NA,Gregarious,Omnivorous,fusiform / normal,1,1,1,benthopelagic,WaterAssumed,non-migratory,10
Aphanius iberus,Apricaphanius iberus,Aphanius,Apricaphanius,E,0,NT,NT,2024,2024,4,5,1,5,0,0,0,0,0,1,Amphidromous,Oviparous,no,yes,NA,Gregarious,Omnivorous,fusiform / normal,1,1,0,benthopelagic,WaterAssumed,non-migratory,10
Aphia minuta,Aphia minuta,Aphia,Aphia,U,0,LC,NA,2025,NA,3.75,6,5,100,1,0,0,1,0,0,Oceanodromous,Oviparous,no,yes,Planktotrophic,Gregarious,Carnivorous,elongated,0,1,1,pelagic-neritic,WaterAssumed,oceanodromous,12.14
Apletodon dentatus,Apletodon dentatus,Apletodon,Apletodon,U,0,LC,NA,2025,NA,4.25,5.1,1,20,0,0,0,0,1,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,10
Apogon imberbis,Apogon imberbis,Apogon,Apogon,U,0,LC,LC,2015,2011,11,15,5,50,0,0,0,1,1,0,no,Oviparous,no,no,Planktotrophic,Mix,Carnivorous,fusiform / normal,0,0,1,reef-associated,WaterAssumed,non-migratory,15.08
Apogon pharaonis,Apogonichthyoides pharaonis,Apogon,Apogonichthyoides,RS,1,LC,NA,2022,NA,10,15,5,50,1,0,0,1,0,0,no,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,0,1,demersal,WaterAssumed,NA,10
Apogon queketti,Jaydia queketti,Apogon,Jaydia,RS,1,NA,NA,NA,NA,8,15,1,90,1,0,0,0,1,0,no,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,0,1,benthopelagic,WaterAssumed,NA,10
Apogon smithi,Jaydia smithi,Apogon,Jaydia,RS,1,LC,NA,2024,NA,6,15,1,50,1,0,0,1,1,0,no,Oviparous,no,no,Leicitotrophic,Gregarious,Carnivorous,fusiform / normal,0,0,1,demersal,WaterAssumed,NA,10
Apogon taeniatus,Apogonichthyoides taeniatus,Apogon,Apogonichthyoides,U,0,LC,NA,2022,NA,11,17,5,50,0,0,0,1,0,0,no,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,short and / or deep,0,0,1,reef-associated,WaterAssumed,NA,10
Apterichtus anguiformis,Apterichtus anguiformis,Apterichtus,Apterichtus,U,0,LC,LC,2015,2011,55,60,10,40,0,0,0,1,0,0,NA,Oviparous,no,no,Planktotrophic,NA,Carnivorous,eel-like,0,0,1,demersal,WaterAssumed,NA,39.3
Apterichtus caecus,Apterichtus caecus,Apterichtus,Apterichtus,U,0,LC,LC,2015,2011,55,60,5,20,0,0,0,1,0,0,NA,Oviparous,no,no,Planktotrophic,NA,Carnivorous,eel-like,0,0,1,demersal,WaterAssumed,NA,44
Argentina sphyraena,Argentina sphyraena,Argentina,Argentina,U,0,NA,LC,NA,2011,29,45,50,200,1,1,0,1,0,0,Oceanodromous,Oviparous,no,no,NA,Gregarious,Carnivorous,elongated,0,0,1,bathydemersal,WaterAssumed,NA,36.22
Argyropelecus hemigymnus,Argyropelecus hemigymnus,Argyropelecus,Argyropelecus,U,0,LC,LC,2010,2011,2.8,4,1,2400,0,0,1,0,0,0,no,Oviparous,no,no,Planktotrophic,Mix,Carnivorous,short and / or deep,0,0,1,bathypelagic,WaterAssumed,NA,10
Argyrosomus regius,Argyrosomus regius,Argyrosomus,Argyrosomus,U,0,LC,LC,2020,2011,120,200,15,100,0,0,0,1,1,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,1,1,benthopelagic,WaterAssumed,oceanodromous,79.25
Ariopsis felis,Ariopsis felis,Ariopsis,Ariopsis,A,1,LC,NA,2015,NA,25,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elongated,0,1,1,reef-associated,WaterAssumed,NA,48
Ariosoma balearicum,Ariosoma balearicum,Ariosoma,Ariosoma,U,0,LC,LC,2015,2011,45,50,20,100,0,0,0,1,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,eel-like,0,0,1,reef-associated,WaterAssumed,oceanodromous,25
Arius parki,Carlarius parkii,Arius,Carlarius,A,1,LC,NA,2020,NA,67.5,75,50,80,0,0,0,1,0,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,fusiform / normal,0,1,1,demersal,WaterAssumed,NA,51.21
Arnoglossus imperialis,Arnoglossus imperialis,Arnoglossus,Arnoglossus,U,0,LC,LC,2020,2011,22.5,25,80,150,1,1,0,1,0,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,fusiform / normal,0,0,1,demersal,WaterAssumed,NA,15
Arnoglossus kessleri,Arnoglossus kessleri,Arnoglossus,Arnoglossus,E,0,DD,NA,2014,NA,11.5,13,10,200,1,0,0,1,0,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,fusiform / normal,0,0,1,demersal,WaterAssumed,NA,10
Arnoglossus laterna,Arnoglossus laterna,Arnoglossus,Arnoglossus,U,0,LC,LC,2015,2011,20,25,10,400,1,1,0,1,0,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,fusiform / normal,0,0,1,demersal,WaterAssumed,NA,35.75
Arnoglossus rueppelii,Arnoglossus rueppelii,Arnoglossus,Arnoglossus,U,0,LC,LC,2020,2011,NA,15,200,550,0,1,0,1,0,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,fusiform / normal,0,0,1,demersal,WaterAssumed,NA,10
Arnoglossus thori,Arnoglossus thori,Arnoglossus,Arnoglossus,U,0,DD,LC,2015,2011,19,25,15,50,1,1,0,1,1,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,fusiform / normal,0,0,1,demersal,WaterAssumed,NA,23.57
Arothron hispidus,Arothron hispidus,Arothron,Arothron,RS,1,LC,NA,2014,NA,NA,50,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,short and / or deep,0,1,1,reef-associated,WaterAssumed,non-migratory,40
Aspitrigla cuculus,Chelidonichthys cuculus,Aspitrigla,Chelidonichthys,U,0,LC,LC,2015,2011,37.5,50,30,200,1,1,0,1,0,0,NA,Oviparous,no,no,Planktotrophic,Mix,Carnivorous,fusiform / normal,0,0,1,demersal,WaterAssumed,NA,46.18
Aspitrigla obscura,Chelidonichthys obscurus,Aspitrigla,Chelidonichthys,U,0,LC,LC,2015,2011,32.5,40,2,70,1,1,0,1,0,0,NA,Oviparous,no,no,Planktotrophic,NA,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,40.2
Atherina boyeri,Atherina boyeri,Atherina,Atherina,U,0,LC,NA,2024,NA,9,13,1,3,0,0,0,1,1,1,Amphidromous,Oviparous,no,no,Leicitotrophic,Gregarious,Carnivorous,elongated,1,1,1,demersal,WaterAssumed,amphidromous,43.98
Atherina hepsetus,Atherina hepsetus,Atherina,Atherina,U,0,NA,LC,NA,2011,15,20,1,3,0,0,0,0,1,0,NA,Oviparous,no,no,Leicitotrophic,Gregarious,Carnivorous,elongated,1,1,1,pelagic-neritic,WaterAssumed,NA,10
Atherina presbyter,Atherina presbyter,Atherina,Atherina,U,0,LC,DD,2015,2011,13.5,20,1,3,0,0,0,1,1,1,Oceanodromous,Oviparous,no,no,Leicitotrophic,Gregarious,Carnivorous,elongated,0,1,1,pelagic-neritic,WaterAssumed,oceanodromous,19.79
Atherinomorus forskalii,Atherinomorus forskalii,Atherinomorus,Atherinomorus,RS,1,NA,NA,NA,NA,6,15,1,10,0,0,0,0,0,0,no,Oviparous,no,no,Leicitotrophic,NA,Carnivorous,fusiform / normal,0,0,1,reef-associated,WaterAssumed,NA,10
Atherinomorus lacunosus,Atherinomorus lacunosus,Atherinomorus,Atherinomorus,RS,0,LC,NA,2022,NA,12,14,1,10,0,0,0,1,1,0,no,Oviparous,no,no,Leicitotrophic,Gregarious,Carnivorous,elongated,1,1,1,reef-associated,WaterAssumed,NA,15
Aulopareia unicolor,Aulopareia unicolor,Aulopareia,Aulopareia,RS,1,LC,NA,2019,NA,NA,10.73999977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elongated,1,1,0,demersal,WaterAssumed,NA,10
Aulopus filamentosus,Aulopus filamentosus,Aulopus,Aulopus,U,0,LC,LC,2015,2011,17.5,44,150,1000,1,1,0,1,0,0,no,Oviparous,no,no,Planktotrophic,NA,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,41.47
Auxis rochei,Auxis rochei,Auxis,Auxis,U,0,LC,LC,2023,2011,35,50,1,30,1,0,0,0,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,1,1,pelagic-neritic,WaterAssumed,oceanodromous,26.68
Balistes carolinensis,Balistes capriscus,Balistes,Balistes,U,0,VU,NA,2015,NA,32.5,45,10,50,1,0,0,1,1,1,Oceanodromous,Oviparous,no,no,Planktotrophic,Mix,Carnivorous,short and / or deep,0,0,1,reef-associated,WaterAssumed,NA,46.03
Balistoides conspicillum,Balistoides conspicillum,Balistoides,Balistoides,RS,1,LC,NA,2022,NA,NA,50,1,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,short and / or deep,0,1,1,reef-associated,WaterAssumed,NA,40
Bathophilus nigerrimus,Bathophilus nigerrimus,Bathophilus,Bathophilus,U,0,LC,LC,2015,2011,6,12,1000,2800,0,0,1,1,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Solitary,Piscivorous,elongated,0,0,1,bathypelagic,WaterAssumed,NA,10
Bathypterois dubius,Bathypterois dubius,Bathypterois,Bathypterois,U,0,LC,NA,2015,NA,15,21,260,2800,0,1,0,0,0,0,no,Oviparous,Hermaphrodite,no,Planktotrophic,Mix,Carnivorous,elongated,0,0,1,bathydemersal,WaterAssumed,NA,15.01
Bathypterois grallator,Bathypterois grallator,Bathypterois,Bathypterois,U,0,LC,DD,2015,2011,30,37,870,4700,1,1,1,0,1,0,no,Oviparous,Hermaphrodite,no,Planktotrophic,Solitary,Carnivorous,elongated,0,0,1,bathydemersal,WaterAssumed,NA,33.4
Bathypterois mediterraneus,Bathypterois mediterraneus,Bathypterois,Bathypterois,E,0,LC,LC,2011,2011,13,21,260,2800,0,1,0,1,0,0,no,Oviparous,Hermaphrodite,no,Planktotrophic,Solitary,Carnivorous,elongated,0,0,1,bathydemersal,WaterAssumed,NA,14.4
Bathysolea profundicola,Bathysolea profundicola,Bathysolea,Bathysolea,U,0,LC,DD,2015,2011,10,21,200,1300,0,1,0,1,0,0,no,NA,no,no,NA,Solitary,Carnivorous,short and / or deep,0,0,1,bathypelagic,WaterAssumed,NA,24
Bellottia apoda,Bellottia apoda,Bellottia,Bellottia,U,0,LC,LC,2019,2011,NA,7,30,500,0,1,0,1,0,0,no,Viviparous,no,no,Planktotrophic,Solitary,Omnivorous,fusiform / normal,0,0,1,bathydemersal,WaterAssumed,NA,10
Belone belone gracilis,Belone belone,Belone,Belone,U,0,LC,LC,2015,2011,75,95,1,5,0,0,0,0,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,elongated,0,1,1,pelagic-oceanic,WaterAssumed,oceanodromous,48.92
Belone svetovidovi,Belone svetovidovi,Belone,Belone,U,0,NA,DD,NA,2011,NA,57,1,5,0,0,0,0,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,elongated,0,0,1,pelagic-oceanic,WaterAssumed,NA,31.8
Benthocometes robustus,Benthocometes robustus,Benthocometes,Benthocometes,U,0,LC,DD,2010,2011,NA,15,100,500,0,1,0,1,0,0,NA,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,eel-like,0,0,1,bathydemersal,WaterAssumed,NA,10
Benthosema glaciale,Benthosema glaciale,Benthosema,Benthosema,U,0,LC,LC,2015,2011,6,10,1,1400,0,0,1,0,0,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,fusiform / normal,0,0,1,pelagic-oceanic,WaterAssumed,non-migratory,27.28
Beryx splendens,Beryx splendens,Beryx,Beryx,A,0,LC,NA,2015,NA,30,35,180,1300,1,1,0,1,1,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,fusiform / normal,0,0,1,benthopelagic,WaterAssumed,NA,58.69
Blennius ocellaris,Blennius ocellaris,Blennius,Blennius,U,0,LC,LC,2026,2011,16.5,20,15,30,1,0,0,0,1,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,10
Bodianus speciosus,Bodianus speciosus,Bodianus,Bodianus,A,1,DD,NA,2010,NA,40,50,3,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,0,0,1,reef-associated,WaterAssumed,NA,44.4
Boops boops,Boops boops,Boops,Boops,U,0,LC,LC,2014,2011,22.5,36,5,30,1,1,0,1,1,1,Oceanodromous,Oviparous,Protogynous,no,Planktotrophic,Gregarious,Omnivorous,fusiform / normal,0,0,1,demersal,WaterAssumed,oceanodromous,50.53
Bothus podas,Bothus podas,Bothus,Bothus,U,0,LC,LC,2015,2011,25.5,45,10,50,0,0,0,1,0,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,short and / or deep,0,0,1,demersal,WaterAssumed,NA,35
Brama brama,Brama brama,Brama,Brama,U,0,LC,DD,2015,2011,55,75,5,800,0,0,1,0,0,0,Oceanodromous,Oviparous,no,no,Planktotrophic,Gregarious,Carnivorous,short and / or deep,0,0,1,pelagic-neritic,WaterAssumed,oceanodromous,60
Bregmaceros nectabanus,Bregmaceros nectabanus,Bregmaceros,Bregmaceros,RS,1,LC,NA,2015,NA,NA,7.599999905,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elongated,0,0,1,pelagic-neritic,WaterAssumed,non-migratory,10
Buenia affinis,Buenia affinis,Buenia,Buenia,E,0,LC,LC,2025,2025,NA,3.2,3,35,0,0,0,1,0,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,fusiform / normal,0,0,1,demersal,WaterAssumed,NA,10
Buenia jeffreysii,Buenia jeffreysii,Buenia,Buenia,U,0,LC,NA,2025,NA,5.5,6,5,330,0,0,0,1,0,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,10
Buglossidium luteum,Buglossidium luteum,Buglossidium,Buglossidium,U,0,LC,LC,2022,2011,11.5,16,10,40,1,1,0,1,0,0,NA,Oviparous,no,no,Planktotrophic,NA,Carnivorous,short and / or deep,0,0,1,demersal,WaterAssumed,NA,24.35
Caesio varilineata,Caesio varilineata,Caesio,Caesio,RS,1,LC,NA,2019,NA,NA,40,2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fusiform / normal,0,0,1,reef-associated,WaterAssumed,non-migratory,30
Callanthias ruber,Callanthias ruber,Callanthias,Callanthias,U,0,LC,LC,2015,2011,15,27,50,500,1,1,1,0,1,0,no,Oviparous,Protogynous,no,Planktotrophic,NA,Carnivorous,fusiform / normal,0,0,1,demersal,WaterAssumed,NA,44
Callionymus fasciatus,Callionymus fasciatus,Callionymus,Callionymus,U,0,LC,NA,2014,NA,10,12,20,60,1,0,0,1,0,0,NA,Oviparous,no,no,Planktotrophic,NA,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,10
Callionymus filamentosus,Callionymus filamentosus,Callionymus,Callionymus,RS,1,NA,NA,NA,NA,7,11,1,100,0,0,0,1,0,0,no,Oviparous,no,no,Planktotrophic,NA,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,10
Callionymus lyra,Callionymus lyra,Callionymus,Callionymus,U,0,LC,LC,2015,2011,20,30,5,100,1,0,0,1,1,1,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,28.71
Callionymus maculatus,Callionymus maculatus,Callionymus,Callionymus,U,0,LC,LC,2015,2011,10,16,45,650,1,0,0,1,0,0,no,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,10
Callionymus pusillus,Callionymus pusillus,Callionymus,Callionymus,U,0,LC,LC,2014,2011,10,14,1,5,0,0,0,1,0,0,NA,Oviparous,no,no,Planktotrophic,Solitary,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,10
Callionymus reticulatus,Callionymus reticulatus,Callionymus,Callionymus,U,0,LC,DD,2014,2011,9,11,1,110,0,0,0,1,0,0,no,Oviparous,no,no,Planktotrophic,NA,Carnivorous,elongated,0,1,1,demersal,WaterAssumed,non-migratory,10
Callionymus risso,Callionymus risso,Callionymus,Callionymus,U,0,LC,LC,2014,2011,5.5,8,10,80,1,0,0,1,0,0,NA,Oviparous,no,no,Planktotrophic,NA,Carnivorous,elongated,0,0,1,demersal,WaterAssumed,NA,10
